Mat,Inns,Runs,Ave,SR,CATEGORY
58,104,4154,41.95,51.49,TEST
147,143,5238,39.68,85.25,ODI
71,122,6147,53.92,58.22,TEST
211,203,9779,58.2,92.12,ODI
62,58,2102,48.88,136.22,T20
200,329,15921,53.78,58.22,TEST
463,452,18426,44.83,86.23,ODI
35,22,271,16.93,153.1,T20
41,27,670,29.13,114.52,ODI
90,144,4876,38.09,59.11,TEST
321,274,10046,51.25,88.13,ODI
93,80,1487,37.17,127.09,T20
50,86,3150,40.9,51.22,TEST
90,87,2962,35.26,78.63,ODI
20,20,375,20.83,113.29,T20
18,31,768,26.48,53.14,TEST
226,194,5615,35.31,93.5,ODI
78,66,1605,29.18,134.87,T20
32,57,2068,37.6,44.16,TEST
58,57,2184,39.7,80.23,ODI
15,15,255,18.21,102.82,T20
93,89,3361,38.19,90.3,ODI
42,42,1596,45.6,161.53,T20
64,117,6199,61.37,55.49,TEST
108,94,3431,41.84,86.35,ODI
30,25,431,21.55,122.44,T20
52,80,6996,99.94,50.25,TEST
74,137,6363,48.2,74.5,TEST
106,104,4343,43.43,96.55,ODI
70,70,1792,26.74,140.1,T20
59,102,3571,37.19,55.46,TEST
51,47,1962,50.3,105.31,ODI
27,22,396,24.75,125.71,T20
161,291,12472,45.35,46.95,TEST
92,92,3204,36.4,77.13,ODI
4,4,61,15.25,112.96,T20
74,135,6279,51.04,55.2,TEST
116,110,4800,51.61,86.83,ODI
28,26,787,35.77,128.59,T20
46,83,2779,33.89,59.35,TEST
70,61,1846,35.5,93.61,ODI
22,19,206,14.71,136.42,T20
25,42,1294,35.94,59.33,TEST
117,99,3148,40.35,117.11,ODI
65,57,1247,27.1,137.79,T20
65,116,5338,50.35,50.4,TEST
127,121,5156,46.87,83.22,ODI
51,49,1316,31.33,120.95,T20
85,152,6281,47.22,59.35,TEST
204,190,7267,46.28,82.87,ODI
81,73,1415,25.26,121.04,T20
101,176,6453,38.64,64.6,TEST
260,228,6083,30.41,96.37,ODI
71,70,2140,35.66,136.21,T20
47,89,2586,29.38,46.61,TEST
159,156,5976,42.99,86.38,ODI
75,73,2271,34.4,132.88,T20
5,9,86,10.75,26.7,TEST
83,69,1976,34.06,81.78,ODI
17,15,171,15.54,108.91,T20
119,205,9022,47.23,50.17,TEST
169,166,7696,49.65,89.3,ODI
44,44,1277,33.6,132.05,T20
109,97,2588,36.97,101.21,ODI
61,53,1084,28.52,138.79,T20
114,191,8765,50.66,54.51,TEST
228,218,9577,53.5,101.09,ODI
78,75,1672,26.12,135.16,T20
46,74,2103,32.85,46.28,TEST
189,171,4994,37.54,84.65,ODI
77,71,1825,37.24,124.31,T20
62,105,4809,49.57,46.9,TEST
25,43,1479,39.97,55.14,TEST
183,177,6748,44.98,87.18,ODI
84,77,2086,32.59,137.05,T20
